book,sample,rule,skipped_stamp,bar,n_days,mean_change_pts,mean_change_prem,t_change,mean_book_pair_pts,mean_rule_pair_pts,mean_dV_frozen_pts
exit_1530_crossed,whole,R6,14:00,14:00-14:30,865,-0.004968260914875957,-0.004768061973009542,-1.1126794802859152,-0.9516238666693723,-0.9565921275842483,1.052036643225573
exit_1530_crossed,whole,R6,14:30,14:30-15:00,865,-0.09942641533354991,-0.013113727643687272,-1.9131032049019838,-0.8985495764593447,-0.9979759917928948,1.0074532625714765
exit_1530_crossed,daily_era,R6,11:30,11:30-12:00,489,-0.14449676411099963,-0.007442937297107364,-1.3964801891619825,-0.8055542395251492,-0.9500510036361489,0.9459013733710565
exit_1530_crossed,daily_era,R6,12:30,12:30-13:00,489,0.00298408929573275,-0.0016694141617092165,-0.48425148260781276,-0.6197403066604914,-0.6167562173647586,0.6480609114562167
exit_1530_crossed,daily_era,R6,13:00,13:00-13:30,489,-0.10851346332128887,-0.0029104687718708574,-0.4385795848386872,-0.8947390077610486,-1.0032524710823378,0.9461405397078415
exit_1530_crossed,daily_era,R6,14:00,14:00-14:30,489,-0.1681626677399176,-0.013611390589886013,-1.9992380576162077,-0.9495910655678238,-1.1177537333077414,1.136659458669196
exit_1530_crossed,daily_era,R6,14:30,14:30-15:00,489,-0.2857220122682243,-0.026880251390339924,-2.4326485234090174,-0.9579282926422765,-1.2436503049105005,1.100798018243269
exit_1530_crossed,whole,R7,11:30,11:30-12:00,865,-0.0369258098542228,-0.005323274782502386,-1.3637846187058915,-0.834839430154078,-0.8717652400083008,0.8848379616135266
exit_1530_crossed,whole,R7,12:30,12:30-13:00,865,-0.02440824353324271,9.88938258642938e-07,0.0003985055954002226,-0.6225901428308689,-0.6469983863641116,0.6268717889230736
exit_1530_crossed,whole,R7,13:30,13:30-14:00,865,-0.12445952486302735,-0.005054535656570155,-1.8088152052957758,-0.7220639358790333,-0.8465234607420606,0.8998503783374788
exit_1530_crossed,whole,R7,14:30,14:30-15:00,865,0.050031591230807554,-0.0036951912442750117,-0.8267386972365104,-0.8985495764593447,-0.8485179852285373,1.0074532625714765
exit_1530_crossed,daily_era,R7,11:30,11:30-12:00,489,-0.14449676411099963,-0.007442937297107364,-1.3964801891619825,-0.8055542395251492,-0.9500510036361489,0.9459013733710565
exit_1530_crossed,daily_era,R7,12:30,12:30-13:00,489,0.00298408929573275,-0.0016694141617092165,-0.48425148260781276,-0.6197403066604914,-0.6167562173647586,0.6480609114562167
exit_1530_crossed,daily_era,R7,13:30,13:30-14:00,489,-0.11639575760993036,-0.00703699038472866,-1.7317281150979413,-0.7178080689835479,-0.8342038265934782,1.0969287605934324
exit_1530_crossed,daily_era,R7,14:30,14:30-15:00,489,-0.07491177755294905,-0.01182275984189198,-1.7518146503029752,-0.9579282926422765,-1.0328400701952254,1.100798018243269
hold_settlement_crossed,whole,R1,12:30,12:30-13:00,865,-0.02440824353324271,9.88938258642938e-07,0.0003985055954002226,-0.6225901428308689,-0.6469983863641116,0.6268717889230736
hold_settlement_crossed,daily_era,R1,12:30,12:30-13:00,489,0.00298408929573275,-0.0016694141617092165,-0.48425148260781276,-0.6197403066604914,-0.6167562173647586,0.6480609114562167
hold_settlement_crossed,whole,R2,12:30,12:30-13:00,865,-0.02440824353324271,9.88938258642938e-07,0.0003985055954002226,-0.6225901428308689,-0.6469983863641116,0.6268717889230736
hold_settlement_crossed,whole,R2,13:00,13:00-13:30,865,-0.1413845725586788,-0.0065312982899148634,-1.466054617163982,-0.7425371637596537,-0.8839217363183327,0.8612374089209136
hold_settlement_crossed,daily_era,R2,12:30,12:30-13:00,489,0.00298408929573275,-0.0016694141617092165,-0.48425148260781276,-0.6197403066604914,-0.6167562173647586,0.6480609114562167
hold_settlement_crossed,daily_era,R2,13:00,13:00-13:30,489,-0.10851346332128887,-0.0029104687718708574,-0.4385795848386872,-0.8947390077610486,-1.0032524710823378,0.9461405397078415
hold_settlement_crossed,whole,R3,12:00,12:00-12:30,865,0.017645490321076474,0.0012999056096559692,0.44416582360544654,-0.7402458085111204,-0.7226003181900439,0.7765114632796831
hold_settlement_crossed,whole,R3,13:00,13:00-13:30,865,-0.07373790082163668,-0.003695541240747938,-1.3228848165068143,-0.7425371637596537,-0.8162750645812906,0.8612374089209136
hold_settlement_crossed,whole,R3,14:00,14:00-14:30,865,-0.004968260914875957,-0.004768061973009542,-1.1126794802859152,-0.9516238666693723,-0.9565921275842483,1.052036643225573
hold_settlement_crossed,daily_era,R3,12:00,12:00-12:30,489,0.04739214733751857,0.0026965745305934366,0.7644820031487853,-0.7421568209038435,-0.694764673566325,0.7867716034876283
hold_settlement_crossed,daily_era,R3,13:00,13:00-13:30,489,-0.017142101648051286,-0.0012926066589619692,-0.3201229314725926,-0.8947390077610486,-0.9118811094091,0.9461405397078415
hold_settlement_crossed,daily_era,R3,14:00,14:00-14:30,489,-0.1681626677399176,-0.013611390589886013,-1.9992380576162077,-0.9495910655678238,-1.1177537333077414,1.136659458669196
hold_settlement_crossed,whole,R4,11:30,11:30-12:00,865,-0.0369258098542228,-0.005323274782502386,-1.3637846187058915,-0.834839430154078,-0.8717652400083008,0.8848379616135266
hold_settlement_crossed,daily_era,R4,11:30,11:30-12:00,489,-0.14449676411099963,-0.007442937297107364,-1.3964801891619825,-0.8055542395251492,-0.9500510036361489,0.9459013733710565
hold_settlement_crossed,whole,R5,14:30,14:30-15:00,865,0.050031591230807554,-0.0036951912442750117,-0.8267386972365104,-0.8985495764593447,-0.8485179852285373,1.0074532625714765
hold_settlement_crossed,daily_era,R5,14:30,14:30-15:00,489,-0.07491177755294905,-0.01182275984189198,-1.7518146503029752,-0.9579282926422765,-1.0328400701952254,1.100798018243269
hold_settlement_crossed,whole,R6,11:30,11:30-12:00,865,-0.0369258098542228,-0.005323274782502386,-1.3637846187058915,-0.834839430154078,-0.8717652400083008,0.8848379616135266
hold_settlement_crossed,whole,R6,12:30,12:30-13:00,865,-0.02440824353324271,9.88938258642938e-07,0.0003985055954002226,-0.6225901428308689,-0.6469983863641116,0.6268717889230736
hold_settlement_crossed,whole,R6,13:00,13:00-13:30,865,-0.1413845725586788,-0.0065312982899148634,-1.466054617163982,-0.7425371637596537,-0.8839217363183327,0.8612374089209136
hold_settlement_crossed,whole,R6,14:00,14:00-14:30,865,-0.004968260914875957,-0.004768061973009542,-1.1126794802859152,-0.9516238666693723,-0.9565921275842483,1.052036643225573
hold_settlement_crossed,whole,R6,14:30,14:30-15:00,865,-0.09942641533354991,-0.013113727643687272,-1.9131032049019838,-0.8985495764593447,-0.9979759917928948,1.0074532625714765
hold_settlement_crossed,daily_era,R6,11:30,11:30-12:00,489,-0.14449676411099963,-0.007442937297107364,-1.3964801891619825,-0.8055542395251492,-0.9500510036361489,0.9459013733710565
hold_settlement_crossed,daily_era,R6,12:30,12:30-13:00,489,0.00298408929573275,-0.0016694141617092165,-0.48425148260781276,-0.6197403066604914,-0.6167562173647586,0.6480609114562167
hold_settlement_crossed,daily_era,R6,13:00,13:00-13:30,489,-0.10851346332128887,-0.0029104687718708574,-0.4385795848386872,-0.8947390077610486,-1.0032524710823378,0.9461405397078415
hold_settlement_crossed,daily_era,R6,14:00,14:00-14:30,489,-0.1681626677399176,-0.013611390589886013,-1.9992380576162077,-0.9495910655678238,-1.1177537333077414,1.136659458669196
hold_settlement_crossed,daily_era,R6,14:30,14:30-15:00,489,-0.2857220122682243,-0.026880251390339924,-2.4326485234090174,-0.9579282926422765,-1.2436503049105005,1.100798018243269
hold_settlement_crossed,whole,R7,11:30,11:30-12:00,865,-0.0369258098542228,-0.005323274782502386,-1.3637846187058915,-0.834839430154078,-0.8717652400083008,0.8848379616135266
hold_settlement_crossed,whole,R7,12:30,12:30-13:00,865,-0.02440824353324271,9.88938258642938e-07,0.0003985055954002226,-0.6225901428308689,-0.6469983863641116,0.6268717889230736
hold_settlement_crossed,whole,R7,13:30,13:30-14:00,865,-0.12445952486302735,-0.005054535656570155,-1.8088152052957758,-0.7220639358790333,-0.8465234607420606,0.8998503783374788
hold_settlement_crossed,whole,R7,14:30,14:30-15:00,865,0.050031591230807554,-0.0036951912442750117,-0.8267386972365104,-0.8985495764593447,-0.8485179852285373,1.0074532625714765
hold_settlement_crossed,daily_era,R7,11:30,11:30-12:00,489,-0.14449676411099963,-0.007442937297107364,-1.3964801891619825,-0.8055542395251492,-0.9500510036361489,0.9459013733710565
hold_settlement_crossed,daily_era,R7,12:30,12:30-13:00,489,0.00298408929573275,-0.0016694141617092165,-0.48425148260781276,-0.6197403066604914,-0.6167562173647586,0.6480609114562167
hold_settlement_crossed,daily_era,R7,13:30,13:30-14:00,489,-0.11639575760993036,-0.00703699038472866,-1.7317281150979413,-0.7178080689835479,-0.8342038265934782,1.0969287605934324
hold_settlement_crossed,daily_era,R7,14:30,14:30-15:00,489,-0.07491177755294905,-0.01182275984189198,-1.7518146503029752,-0.9579282926422765,-1.0328400701952254,1.100798018243269
