segment,bar_end,estimator,train_win,sample,comparison,n,QLIKE_a,QLIKE_b,diff,pct,ci_lo,ci_hi,improves,worse,blown
bar1000,10:00,reclasso,500,common,coefficients,3056,0.10926823974543265,0.11793527068420055,-0.008667030938767912,-7.348972778445497,-0.013089077108125726,-0.0044055795538173095,True,False,False
bar1000,10:00,reclasso,500,common,package,3056,0.10926823974543265,0.11814839611706726,-0.00888015637163463,-7.516104038209484,-0.012458515169801643,-0.005322421654495464,True,False,False
bar1000,10:00,reclasso,500,common,calibration,3056,0.11793527068420055,0.11814839611706726,-0.0002131254328667187,-0.18038791881317076,-0.002114546440083123,0.0014892576808656687,False,False,False
bar1000,10:00,reclasso,500,common,as scored,3056,0.10863628924467719,0.11644664367786942,-0.007810354433192207,-6.707238771774543,-0.011718427397882198,-0.0040092268423926195,True,False,False
bar1000,10:00,reclasso,500,deck period,coefficients,1116,0.10834886931031973,0.11460420487429532,-0.006255335563975578,-5.458207725307113,-0.013672794503971764,0.0016252226319702604,False,False,False
bar1000,10:00,reclasso,500,deck period,package,1116,0.10834886931031973,0.11659104978488184,-0.008242180474562117,-7.069308055609314,-0.014457913854175247,-0.0015940520759330377,True,False,False
bar1000,10:00,reclasso,500,deck period,calibration,1116,0.11460420487429532,0.11659104978488184,-0.00198684491058654,-1.7041144361015699,-0.0063411277208513354,0.001528365571783,False,False,False
bar1000,10:00,reclasso,500,deck period,as scored,1116,0.10730571130600737,0.11307932803803446,-0.0057736167320271035,-5.105810966691575,-0.012171904071982733,0.0011404417133135062,False,False,False
bar1000,10:00,reclasso,2000,common,coefficients,1556,0.11219485509743728,0.12112971658429611,-0.008934861486858842,-7.376275400298595,-0.014176168319338113,-0.0038420247195611774,True,False,False
bar1000,10:00,reclasso,2000,common,package,1556,0.11219485509743728,0.12536845066359772,-0.013173595566160465,-10.50790330137308,-0.017318377857552553,-0.009407073587288756,True,False,False
bar1000,10:00,reclasso,2000,common,calibration,1556,0.12112971658429611,0.12536845066359772,-0.004238734079301624,-3.3810213469698667,-0.007124670951772374,-0.0015102127086596062,True,False,False
bar1000,10:00,reclasso,2000,common,as scored,1556,0.11156730252952113,0.12215535568230691,-0.010588053152785786,-8.667694587474701,-0.015201853258501465,-0.006196348533178014,True,False,False
bar1000,10:00,reclasso,2000,deck period,coefficients,1116,0.10855639666992067,0.11454863100095129,-0.005992234331030613,-5.231170620433559,-0.011905560034084241,0.00024196810208004262,False,False,False
bar1000,10:00,reclasso,2000,deck period,package,1116,0.10855639666992067,0.12023996717826718,-0.011683570508346505,-9.716877659343087,-0.01628574978071428,-0.007178292530144233,True,False,False
bar1000,10:00,reclasso,2000,deck period,calibration,1116,0.11454863100095129,0.12023996717826718,-0.005691336177315891,-4.7333148127676585,-0.009579443904618363,-0.002517550985807195,True,False,False
bar1000,10:00,reclasso,2000,deck period,as scored,1116,0.10780334039904356,0.11615647357027303,-0.008353133171229467,-7.191276486347477,-0.013483784415937235,-0.003370863019387919,True,False,False
bar1030,10:30,reclasso,500,common,coefficients,3056,0.14310370056703978,0.14662754499751884,-0.00352384443047905,-2.403262245534206,-0.006518330215414423,-0.0006843999617606827,True,False,False
bar1030,10:30,reclasso,500,common,package,3056,0.14310370056703978,0.14872804549753113,-0.005624344930491374,-3.7816303654610572,-0.008476929849404609,-0.002794835144756432,True,False,False
bar1030,10:30,reclasso,500,common,calibration,3056,0.14662754499751884,0.14872804549753113,-0.0021005005000123245,-1.4123096239082846,-0.0033659091076623294,-0.0008901910043562077,True,False,False
bar1030,10:30,reclasso,500,common,as scored,3056,0.14270261771175258,0.14649874151882983,-0.003796123807077241,-2.5912330493223497,-0.006522817540006749,-0.00100419493281434,True,False,False
bar1030,10:30,reclasso,500,deck period,coefficients,1116,0.15321886674660465,0.1555963534530237,-0.0023774867064190325,-1.5279835636616141,-0.00861584229077489,0.0036337380403098484,False,False,False
bar1030,10:30,reclasso,500,deck period,package,1116,0.15321886674660465,0.15655305147836843,-0.003334184731763751,-2.129747520267562,-0.009018617062431412,0.0022869827213736036,False,False,False
