book,family,lookback,treatment,variant,sample,n_sessions,n_traded,frac_traded,mean_turnover_pts,mean_units,sd_units,Sharpe_ann_units,t_hac_units,t_lag_units,MaxDD_units,worst_units,worst_date_units,mean_cost_units,mean_charged_units,Sharpe_charged_units,unit_name_units,mean_pts,sd_pts,Sharpe_ann_pts,t_hac_pts,t_lag_pts,MaxDD_pts,worst_pts,worst_date_pts,mean_cost_pts,mean_charged_pts,Sharpe_charged_pts,unit_name_pts,frac_10:00,frac_10:30,frac_11:00,frac_11:30,frac_12:00,frac_12:30,frac_13:00,frac_13:30,frac_14:00,frac_14:30,frac_15:00,frac_flat
q-selector expanding | flatten | thresholded,q-selector,expanding,flatten,thresholded,unseen,413,413.0,1.0,928.583418857146,0.0232156525820584,0.2681736232757006,1.374247977991204,1.4918197337933934,11.0,-7.330925567705594,-1.6222773074162469,2025-06-05,0.007702686228184454,0.015512966353873947,0.9211116476314377,premium,-0.008208929913511583,3.5156835177843186,-0.037066112984137534,-0.0425406866176231,11.0,-128.69696475523472,-31.968111506762106,2025-04-09,0.046429170942857305,-0.05463810085636892,-0.24695822005848186,index points per contract,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
q-selector expanding | flatten | thresholded,q-selector,expanding,flatten,thresholded,all,1279,1216.0,0.9507427677873339,732.3348922963858,0.01429666659187793,0.32967539970271337,0.6884121365456504,1.4472070041418037,16.0,-7.750417692258176,-3.0363174765343497,2020-07-13,0.0062302327806678555,0.00806643381121007,0.3882925096769117,premium,0.041641185528425544,3.4731080775778276,0.19032904029226302,0.40081667287362144,16.0,-128.69696475523466,-31.968111506762106,2025-04-09,0.036616744614819285,0.005024440913606236,0.022967893806944025,index points per contract,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9507427677873339,0.04925723221266615
q-selector rolling 126 | hold | unconditional,q-selector,rolling 126,hold,unconditional,deck in-sample,866,803.0,0.9272517321016166,3184.994333661259,0.06889743808431534,0.7404432184054432,1.4771057329672646,2.7896536569257973,14.0,-19.06047305127401,-5.823485968457031,2023-11-30,0.023310788207031086,0.04558664987728424,0.9677548224753346,premium,0.6527144511911974,6.475433470448276,1.6001277346491205,2.9337527487053667,14.0,-112.70330264835239,-45.848682342748255,2023-03-22,0.159249716683063,0.4934647345081344,1.2021647729022813,index points per contract,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9272517321016166,0.07274826789838337
q-selector rolling 126 | hold | unconditional,q-selector,rolling 126,hold,unconditional,unseen,413,413.0,1.0,4591.179699107623,0.05491077772600699,0.8001954595166157,1.0893358148864325,1.229112238445204,11.0,-19.824270121040144,-3.4199490100400425,2024-07-25,0.031156884029774793,0.023753893696232195,0.46828166763959683,premium,0.2481625204176924,8.594636434147434,0.4583623650281842,0.6041566881227471,11.0,-208.08905616967644,-58.534792580105474,2025-03-04,0.22955898495538113,0.018603535462311218,0.03420854783587013,index points per contract,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
q-selector rolling 126 | hold | unconditional,q-selector,rolling 126,hold,unconditional,all,1279,1216.0,0.9507427677873339,3639.0635720735722,0.0643810262563393,0.7599651717484338,1.3448209809418383,2.9095245663156186,16.0,-20.891359147454246,-5.823485968457031,2023-11-30,0.02584435941484434,0.038536666841494954,0.7980495211480567,premium,0.5220811850383769,7.227025614022688,1.1467763256164136,2.575614214562507,16.0,-208.0890561696773,-58.534792580105474,2025-03-04,0.1819531786036786,0.3401280064346982,0.742960205318387,index points per contract,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9507427677873339,0.04925723221266615
q-selector rolling 126 | hold | thresholded,q-selector,rolling 126,hold,thresholded,deck in-sample,866,803.0,0.9272517321016166,3184.994333661259,0.06889743808431534,0.7404432184054432,1.4771057329672646,2.7896536569257973,14.0,-19.06047305127401,-5.823485968457031,2023-11-30,0.023310788207031086,0.04558664987728424,0.9677548224753346,premium,0.6527144511911974,6.475433470448276,1.6001277346491205,2.9337527487053667,14.0,-112.70330264835239,-45.848682342748255,2023-03-22,0.159249716683063,0.4934647345081344,1.2021647729022813,index points per contract,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9272517321016166,0.07274826789838337
q-selector rolling 126 | hold | thresholded,q-selector,rolling 126,hold,thresholded,unseen,413,413.0,1.0,4591.179699107623,0.05491077772600699,0.8001954595166157,1.0893358148864325,1.229112238445204,11.0,-19.824270121040144,-3.4199490100400425,2024-07-25,0.031156884029774793,0.023753893696232195,0.46828166763959683,premium,0.2481625204176924,8.594636434147434,0.4583623650281842,0.6041566881227471,11.0,-208.08905616967644,-58.534792580105474,2025-03-04,0.22955898495538113,0.018603535462311218,0.03420854783587013,index points per contract,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
q-selector rolling 126 | hold | thresholded,q-selector,rolling 126,hold,thresholded,all,1279,1216.0,0.9507427677873339,3639.0635720735722,0.0643810262563393,0.7599651717484338,1.3448209809418383,2.9095245663156186,16.0,-20.891359147454246,-5.823485968457031,2023-11-30,0.02584435941484434,0.038536666841494954,0.7980495211480567,premium,0.5220811850383769,7.227025614022688,1.1467763256164136,2.575614214562507,16.0,-208.0890561696773,-58.534792580105474,2025-03-04,0.1819531786036786,0.3401280064346982,0.742960205318387,index points per contract,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9507427677873339,0.04925723221266615
q-selector rolling 126 | flatten | unconditional,q-selector,rolling 126,flatten,unconditional,deck in-sample,866,803.0,0.9272517321016166,638.7429275508961,0.010043154797484698,0.35534267002203923,0.44866590276402885,0.8194430415804136,14.0,-7.750417692258176,-3.0363174765343497,2020-07-13,0.005528011910200932,0.004515142887283769,0.20144754036011095,premium,0.06541497037544636,3.45441004862305,0.30061007442311505,0.5345740801134149,14.0,-101.13925275151878,-30.00483792495547,2022-09-21,0.03193714637754481,0.033477823997901536,0.1538008370188385,index points per contract,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9272517321016166,0.07274826789838337
q-selector rolling 126 | flatten | unconditional,q-selector,rolling 126,flatten,unconditional,unseen,413,413.0,1.0,928.583418857146,0.0232156525820584,0.2681736232757006,1.374247977991204,1.4918197337933934,11.0,-7.330925567705594,-1.6222773074162469,2025-06-05,0.007702686228184454,0.015512966353873947,0.9211116476314377,premium,-0.008208929913511583,3.5156835177843186,-0.037066112984137534,-0.0425406866176231,11.0,-128.69696475523472,-31.968111506762106,2025-04-09,0.046429170942857305,-0.05463810085636892,-0.24695822005848186,index points per contract,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
q-selector rolling 126 | flatten | unconditional,q-selector,rolling 126,flatten,unconditional,all,1279,1216.0,0.9507427677873339,732.3348922963858,0.01429666659187793,0.32967539970271337,0.6884121365456504,1.4472070041418037,16.0,-7.750417692258176,-3.0363174765343497,2020-07-13,0.0062302327806678555,0.00806643381121007,0.3882925096769117,premium,0.041641185528425544,3.4731080775778276,0.19032904029226302,0.40081667287362144,16.0,-128.69696475523466,-31.968111506762106,2025-04-09,0.036616744614819285,0.005024440913606236,0.022967893806944025,index points per contract,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9507427677873339,0.04925723221266615
q-selector rolling 126 | flatten | thresholded,q-selector,rolling 126,flatten,thresholded,deck in-sample,866,803.0,0.9272517321016166,638.7429275508961,0.010043154797484698,0.35534267002203923,0.44866590276402885,0.8194430415804136,14.0,-7.750417692258176,-3.0363174765343497,2020-07-13,0.005528011910200932,0.004515142887283769,0.20144754036011095,premium,0.06541497037544636,3.45441004862305,0.30061007442311505,0.5345740801134149,14.0,-101.13925275151878,-30.00483792495547,2022-09-21,0.03193714637754481,0.033477823997901536,0.1538008370188385,index points per contract,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9272517321016166,0.07274826789838337
q-selector rolling 126 | flatten | thresholded,q-selector,rolling 126,flatten,thresholded,unseen,413,413.0,1.0,928.583418857146,0.0232156525820584,0.2681736232757006,1.374247977991204,1.4918197337933934,11.0,-7.330925567705594,-1.6222773074162469,2025-06-05,0.007702686228184454,0.015512966353873947,0.9211116476314377,premium,-0.008208929913511583,3.5156835177843186,-0.037066112984137534,-0.0425406866176231,11.0,-128.69696475523472,-31.968111506762106,2025-04-09,0.046429170942857305,-0.05463810085636892,-0.24695822005848186,index points per contract,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
q-selector rolling 126 | flatten | thresholded,q-selector,rolling 126,flatten,thresholded,all,1279,1216.0,0.9507427677873339,732.3348922963858,0.01429666659187793,0.32967539970271337,0.6884121365456504,1.4472070041418037,16.0,-7.750417692258176,-3.0363174765343497,2020-07-13,0.0062302327806678555,0.00806643381121007,0.3882925096769117,premium,0.041641185528425544,3.4731080775778276,0.19032904029226302,0.40081667287362144,16.0,-128.69696475523466,-31.968111506762106,2025-04-09,0.036616744614819285,0.005024440913606236,0.022967893806944025,index points per contract,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9507427677873339,0.04925723221266615
q-selector rolling 252 | hold | unconditional,q-selector,rolling 252,hold,unconditional,deck in-sample,866,803.0,0.9272517321016166,3184.994333661259,0.06889743808431534,0.7404432184054432,1.4771057329672646,2.7896536569257973,14.0,-19.06047305127401,-5.823485968457031,2023-11-30,0.023310788207031086,0.04558664987728424,0.9677548224753346,premium,0.6527144511911974,6.475433470448276,1.6001277346491205,2.9337527487053667,14.0,-112.70330264835239,-45.848682342748255,2023-03-22,0.159249716683063,0.4934647345081344,1.2021647729022813,index points per contract,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9272517321016166,0.07274826789838337
q-selector rolling 252 | hold | unconditional,q-selector,rolling 252,hold,unconditional,unseen,413,413.0,1.0,4591.179699107623,0.05491077772600699,0.8001954595166157,1.0893358148864325,1.229112238445204,11.0,-19.824270121040144,-3.4199490100400425,2024-07-25,0.031156884029774793,0.023753893696232195,0.46828166763959683,premium,0.2481625204176924,8.594636434147434,0.4583623650281842,0.6041566881227471,11.0,-208.08905616967644,-58.534792580105474,2025-03-04,0.22955898495538113,0.018603535462311218,0.03420854783587013,index points per contract,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
q-selector rolling 252 | hold | unconditional,q-selector,rolling 252,hold,unconditional,all,1279,1216.0,0.9507427677873339,3639.0635720735722,0.0643810262563393,0.7599651717484338,1.3448209809418383,2.9095245663156186,16.0,-20.891359147454246,-5.823485968457031,2023-11-30,0.02584435941484434,0.038536666841494954,0.7980495211480567,premium,0.5220811850383769,7.227025614022688,1.1467763256164136,2.575614214562507,16.0,-208.0890561696773,-58.534792580105474,2025-03-04,0.1819531786036786,0.3401280064346982,0.742960205318387,index points per contract,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9507427677873339,0.04925723221266615
q-selector rolling 252 | hold | thresholded,q-selector,rolling 252,hold,thresholded,deck in-sample,866,803.0,0.9272517321016166,3184.994333661259,0.06889743808431534,0.7404432184054432,1.4771057329672646,2.7896536569257973,14.0,-19.06047305127401,-5.823485968457031,2023-11-30,0.023310788207031086,0.04558664987728424,0.9677548224753346,premium,0.6527144511911974,6.475433470448276,1.6001277346491205,2.9337527487053667,14.0,-112.70330264835239,-45.848682342748255,2023-03-22,0.159249716683063,0.4934647345081344,1.2021647729022813,index points per contract,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9272517321016166,0.07274826789838337
q-selector rolling 252 | hold | thresholded,q-selector,rolling 252,hold,thresholded,unseen,413,413.0,1.0,4591.179699107623,0.05491077772600699,0.8001954595166157,1.0893358148864325,1.229112238445204,11.0,-19.824270121040144,-3.4199490100400425,2024-07-25,0.031156884029774793,0.023753893696232195,0.46828166763959683,premium,0.2481625204176924,8.594636434147434,0.4583623650281842,0.6041566881227471,11.0,-208.08905616967644,-58.534792580105474,2025-03-04,0.22955898495538113,0.018603535462311218,0.03420854783587013,index points per contract,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
q-selector rolling 252 | hold | thresholded,q-selector,rolling 252,hold,thresholded,all,1279,1216.0,0.9507427677873339,3639.0635720735722,0.0643810262563393,0.7599651717484338,1.3448209809418383,2.9095245663156186,16.0,-20.891359147454246,-5.823485968457031,2023-11-30,0.02584435941484434,0.038536666841494954,0.7980495211480567,premium,0.5220811850383769,7.227025614022688,1.1467763256164136,2.575614214562507,16.0,-208.0890561696773,-58.534792580105474,2025-03-04,0.1819531786036786,0.3401280064346982,0.742960205318387,index points per contract,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9507427677873339,0.04925723221266615
q-selector rolling 252 | flatten | unconditional,q-selector,rolling 252,flatten,unconditional,deck in-sample,866,803.0,0.9272517321016166,638.7429275508961,0.010043154797484698,0.35534267002203923,0.44866590276402885,0.8194430415804136,14.0,-7.750417692258176,-3.0363174765343497,2020-07-13,0.005528011910200932,0.004515142887283769,0.20144754036011095,premium,0.06541497037544636,3.45441004862305,0.30061007442311505,0.5345740801134149,14.0,-101.13925275151878,-30.00483792495547,2022-09-21,0.03193714637754481,0.033477823997901536,0.1538008370188385,index points per contract,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9272517321016166,0.07274826789838337
q-selector rolling 252 | flatten | unconditional,q-selector,rolling 252,flatten,unconditional,unseen,413,413.0,1.0,928.583418857146,0.0232156525820584,0.2681736232757006,1.374247977991204,1.4918197337933934,11.0,-7.330925567705594,-1.6222773074162469,2025-06-05,0.007702686228184454,0.015512966353873947,0.9211116476314377,premium,-0.008208929913511583,3.5156835177843186,-0.037066112984137534,-0.0425406866176231,11.0,-128.69696475523472,-31.968111506762106,2025-04-09,0.046429170942857305,-0.05463810085636892,-0.24695822005848186,index points per contract,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
q-selector rolling 252 | flatten | unconditional,q-selector,rolling 252,flatten,unconditional,all,1279,1216.0,0.9507427677873339,732.3348922963858,0.01429666659187793,0.32967539970271337,0.6884121365456504,1.4472070041418037,16.0,-7.750417692258176,-3.0363174765343497,2020-07-13,0.0062302327806678555,0.00806643381121007,0.3882925096769117,premium,0.041641185528425544,3.4731080775778276,0.19032904029226302,0.40081667287362144,16.0,-128.69696475523466,-31.968111506762106,2025-04-09,0.036616744614819285,0.005024440913606236,0.022967893806944025,index points per contract,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9507427677873339,0.04925723221266615
q-selector rolling 252 | flatten | thresholded,q-selector,rolling 252,flatten,thresholded,deck in-sample,866,803.0,0.9272517321016166,638.7429275508961,0.010043154797484698,0.35534267002203923,0.44866590276402885,0.8194430415804136,14.0,-7.750417692258176,-3.0363174765343497,2020-07-13,0.005528011910200932,0.004515142887283769,0.20144754036011095,premium,0.06541497037544636,3.45441004862305,0.30061007442311505,0.5345740801134149,14.0,-101.13925275151878,-30.00483792495547,2022-09-21,0.03193714637754481,0.033477823997901536,0.1538008370188385,index points per contract,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9272517321016166,0.07274826789838337
q-selector rolling 252 | flatten | thresholded,q-selector,rolling 252,flatten,thresholded,unseen,413,413.0,1.0,928.583418857146,0.0232156525820584,0.2681736232757006,1.374247977991204,1.4918197337933934,11.0,-7.330925567705594,-1.6222773074162469,2025-06-05,0.007702686228184454,0.015512966353873947,0.9211116476314377,premium,-0.008208929913511583,3.5156835177843186,-0.037066112984137534,-0.0425406866176231,11.0,-128.69696475523472,-31.968111506762106,2025-04-09,0.046429170942857305,-0.05463810085636892,-0.24695822005848186,index points per contract,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
q-selector rolling 252 | flatten | thresholded,q-selector,rolling 252,flatten,thresholded,all,1279,1216.0,0.9507427677873339,732.3348922963858,0.01429666659187793,0.32967539970271337,0.6884121365456504,1.4472070041418037,16.0,-7.750417692258176,-3.0363174765343497,2020-07-13,0.0062302327806678555,0.00806643381121007,0.3882925096769117,premium,0.041641185528425544,3.4731080775778276,0.19032904029226302,0.40081667287362144,16.0,-128.69696475523466,-31.968111506762106,2025-04-09,0.036616744614819285,0.005024440913606236,0.022967893806944025,index points per contract,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9507427677873339,0.04925723221266615
q-selector ewma hl 63 | hold | unconditional,q-selector,ewma hl 63,hold,unconditional,deck in-sample,866,803.0,0.9272517321016166,3184.994333661259,0.06889743808431534,0.7404432184054432,1.4771057329672646,2.7896536569257973,14.0,-19.06047305127401,-5.823485968457031,2023-11-30,0.023310788207031086,0.04558664987728424,0.9677548224753346,premium,0.6527144511911974,6.475433470448276,1.6001277346491205,2.9337527487053667,14.0,-112.70330264835239,-45.848682342748255,2023-03-22,0.159249716683063,0.4934647345081344,1.2021647729022813,index points per contract,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9272517321016166,0.07274826789838337
q-selector ewma hl 63 | hold | unconditional,q-selector,ewma hl 63,hold,unconditional,unseen,413,413.0,1.0,4591.179699107623,0.05491077772600699,0.8001954595166157,1.0893358148864325,1.229112238445204,11.0,-19.824270121040144,-3.4199490100400425,2024-07-25,0.031156884029774793,0.023753893696232195,0.46828166763959683,premium,0.2481625204176924,8.594636434147434,0.4583623650281842,0.6041566881227471,11.0,-208.08905616967644,-58.534792580105474,2025-03-04,0.22955898495538113,0.018603535462311218,0.03420854783587013,index points per contract,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
q-selector ewma hl 63 | hold | unconditional,q-selector,ewma hl 63,hold,unconditional,all,1279,1216.0,0.9507427677873339,3639.0635720735722,0.0643810262563393,0.7599651717484338,1.3448209809418383,2.9095245663156186,16.0,-20.891359147454246,-5.823485968457031,2023-11-30,0.02584435941484434,0.038536666841494954,0.7980495211480567,premium,0.5220811850383769,7.227025614022688,1.1467763256164136,2.575614214562507,16.0,-208.0890561696773,-58.534792580105474,2025-03-04,0.1819531786036786,0.3401280064346982,0.742960205318387,index points per contract,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9507427677873339,0.04925723221266615
q-selector ewma hl 63 | hold | thresholded,q-selector,ewma hl 63,hold,thresholded,deck in-sample,866,803.0,0.9272517321016166,3184.994333661259,0.06889743808431534,0.7404432184054432,1.4771057329672646,2.7896536569257973,14.0,-19.06047305127401,-5.823485968457031,2023-11-30,0.023310788207031086,0.04558664987728424,0.9677548224753346,premium,0.6527144511911974,6.475433470448276,1.6001277346491205,2.9337527487053667,14.0,-112.70330264835239,-45.848682342748255,2023-03-22,0.159249716683063,0.4934647345081344,1.2021647729022813,index points per contract,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9272517321016166,0.07274826789838337
q-selector ewma hl 63 | hold | thresholded,q-selector,ewma hl 63,hold,thresholded,unseen,413,413.0,1.0,4591.179699107623,0.05491077772600699,0.8001954595166157,1.0893358148864325,1.229112238445204,11.0,-19.824270121040144,-3.4199490100400425,2024-07-25,0.031156884029774793,0.023753893696232195,0.46828166763959683,premium,0.2481625204176924,8.594636434147434,0.4583623650281842,0.6041566881227471,11.0,-208.08905616967644,-58.534792580105474,2025-03-04,0.22955898495538113,0.018603535462311218,0.03420854783587013,index points per contract,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
q-selector ewma hl 63 | hold | thresholded,q-selector,ewma hl 63,hold,thresholded,all,1279,1216.0,0.9507427677873339,3639.0635720735722,0.0643810262563393,0.7599651717484338,1.3448209809418383,2.9095245663156186,16.0,-20.891359147454246,-5.823485968457031,2023-11-30,0.02584435941484434,0.038536666841494954,0.7980495211480567,premium,0.5220811850383769,7.227025614022688,1.1467763256164136,2.575614214562507,16.0,-208.0890561696773,-58.534792580105474,2025-03-04,0.1819531786036786,0.3401280064346982,0.742960205318387,index points per contract,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9507427677873339,0.04925723221266615
