book,unit,reference,sample,n,mean_diff,ci_lo,ci_hi,ci_halfwidth,boot_mean,boot_sd,excludes_zero_positive,B,block,seed
q-selector expanding | hold | unconditional,premium,fixed 11:00,deck in-sample,866,-0.018639357350007043,-0.0652965442401555,0.029233062834632954,0.04726480353739423,-0.018162277608408654,0.02448405600087178,False,2000,21,0
q-selector rolling 126 | flatten | thresholded,premium,fixed 13:30,unseen,413,-0.034628054208464196,-0.07149085682715871,0.007842964335440806,0.03966691058129976,-0.03381413683922267,0.020390158876513152,False,2000,21,0
q-selector rolling 126 | flatten | thresholded,premium,fixed 13:30,all,1279,-0.024084734579724796,-0.045749570250158286,-0.003024256360756386,0.02136265694470095,-0.023834926714692416,0.010956879903133475,False,2000,21,0
q-selector rolling 126 | flatten | thresholded,premium,fixed 15:00,deck in-sample,866,0.0028926300471095877,-0.0022190296386066805,0.01029712851474045,0.006258079076673566,0.0028990048424329526,0.003245026890974312,False,2000,21,0
q-selector rolling 126 | flatten | thresholded,premium,fixed 15:00,unseen,413,0.0,0.0,0.0,0.0,0.0,0.0,False,2000,21,0
q-selector rolling 126 | flatten | thresholded,premium,fixed 15:00,all,1279,0.0019585751530859286,-0.0014779900566186522,0.00713237047658417,0.0043051802666014116,0.0020414251021764205,0.002237852330501876,False,2000,21,0
q-selector rolling 126 | flatten | thresholded,index points per contract,fixed 11:00,deck in-sample,866,-0.6413481712692582,-1.038057828576836,-0.23022365391272218,0.40391708733205695,-0.6422202820602233,0.20234302142038135,False,2000,21,0
q-selector rolling 126 | flatten | thresholded,index points per contract,fixed 11:00,unseen,413,0.012310105368400395,-0.755703306390261,0.7922815640020494,0.7739924351961551,0.026077518534812782,0.40237778324244106,False,2000,21,0
q-selector rolling 126 | flatten | thresholded,index points per contract,fixed 11:00,all,1279,-0.43027634308211754,-0.7847358080501542,-0.06883124775461293,0.35795228014777064,-0.43487762662911017,0.18801214665296143,False,2000,21,0
q-selector rolling 126 | flatten | thresholded,index points per contract,fixed 13:30,deck in-sample,866,-0.2719706535044624,-0.5690965075332916,0.026106210178478334,0.29760135885588496,-0.27654082866240914,0.15242714170089963,False,2000,21,0
q-selector rolling 126 | flatten | thresholded,index points per contract,fixed 13:30,unseen,413,-0.6494887267479803,-1.1767091197519088,-0.11606844270220976,0.5303203385248495,-0.6403024772254725,0.2718389093955099,False,2000,21,0
q-selector rolling 126 | flatten | thresholded,index points per contract,fixed 13:30,all,1279,-0.3938744566706649,-0.6716731540545513,-0.1256569550846044,0.27300809948497345,-0.3915767384039607,0.13958952886249976,False,2000,21,0
q-selector rolling 126 | flatten | thresholded,index points per contract,fixed 15:00,deck in-sample,866,0.03790188980727477,-0.016914628559159782,0.12015391864228504,0.06853427360072241,0.03758599612175567,0.037108655717800816,False,2000,21,0
q-selector rolling 126 | flatten | thresholded,index points per contract,fixed 15:00,unseen,413,0.0,0.0,0.0,0.0,0.0,0.0,False,2000,21,0
q-selector rolling 126 | flatten | thresholded,index points per contract,fixed 15:00,all,1279,0.025663046577873296,-0.010426671314238863,0.08420848021532296,0.047317575764780906,0.025861810309216395,0.0250537158521562,False,2000,21,0
q-selector rolling 252 | hold | unconditional,premium,fixed 11:00,deck in-sample,866,-0.018639357350007043,-0.0652965442401555,0.029233062834632954,0.04726480353739423,-0.018162277608408654,0.02448405600087178,False,2000,21,0
q-selector rolling 252 | hold | unconditional,premium,fixed 11:00,unseen,413,0.005556360065088347,-0.07092116560619556,0.08199349387001198,0.07645732973810376,0.006220585025334727,0.03945836440648827,False,2000,21,0
q-selector rolling 252 | hold | unconditional,premium,fixed 11:00,all,1279,-0.01082635399392072,-0.05236872652357252,0.028547674329061745,0.040458200426317134,-0.01128447383497436,0.020487458146499715,False,2000,21,0
q-selector rolling 252 | hold | unconditional,premium,fixed 13:30,deck in-sample,866,-0.0002629560671658192,-0.03764717725118814,0.03512306473824594,0.03638512099471704,-0.00019837714049944881,0.0190782047121933,False,2000,21,0
q-selector rolling 252 | hold | unconditional,premium,fixed 13:30,unseen,413,-0.03280993408521144,-0.09979647622415197,0.03746570010929325,0.06863108816672261,-0.031812436794815775,0.035672066800590554,False,2000,21,0
q-selector rolling 252 | hold | unconditional,premium,fixed 13:30,all,1279,-0.010772652643751308,-0.04549680596457125,0.023863773132228414,0.03468028954839983,-0.01070370282115498,0.018180333160639512,False,2000,21,0
q-selector rolling 252 | hold | unconditional,premium,fixed 15:00,deck in-sample,866,0.0003787525653231199,-0.01584020853295736,0.017681311510711353,0.016760760021834357,0.0003433960560862134,0.008416902262060554,False,2000,21,0
q-selector rolling 252 | hold | unconditional,premium,fixed 15:00,unseen,413,0.0,0.0,0.0,0.0,0.0,0.0,False,2000,21,0
q-selector rolling 252 | hold | unconditional,premium,fixed 15:00,all,1279,0.00025645013414372307,-0.010566946848904956,0.01193142133212649,0.011249184090515722,0.00034889811035053784,0.005677949452014748,False,2000,21,0
q-selector rolling 252 | hold | unconditional,index points per contract,fixed 11:00,deck in-sample,866,-0.8727347094408104,-1.3984682421676766,-0.32844389555558867,0.535012173306044,-0.8715645608197976,0.2780308672197597,False,2000,21,0
q-selector rolling 252 | hold | unconditional,index points per contract,fixed 11:00,unseen,413,-0.280290232337575,-1.1236664794611309,0.5761908058585076,0.8499286426598192,-0.2685177291871379,0.44416344864687246,False,2000,21,0
q-selector rolling 252 | hold | unconditional,index points per contract,fixed 11:00,all,1279,-0.6814293388046602,-1.1370330140498133,-0.22484923446350152,0.45609188979315585,-0.6874168811551381,0.23090885796870178,False,2000,21,0
q-selector rolling 252 | hold | unconditional,index points per contract,fixed 13:30,deck in-sample,866,-0.14563069163506903,-0.5807640698381465,0.3383218927975594,0.459542981317853,-0.14786765432701282,0.23640274241476023,False,2000,21,0
q-selector rolling 252 | hold | unconditional,index points per contract,fixed 13:30,unseen,413,-0.9250973606019238,-1.580976970567335,-0.27127169811738827,0.6548526362249734,-0.9146378144174709,0.33811916021294275,False,2000,21,0
q-selector rolling 252 | hold | unconditional,index points per contract,fixed 13:30,all,1279,-0.39732712188003466,-0.7724885900098994,-0.0007922409130374495,0.385848174548431,-0.3968973803812009,0.20144101898106173,False,2000,21,0
q-selector rolling 252 | hold | unconditional,index points per contract,fixed 15:00,deck in-sample,866,0.07997858150444129,-0.16415913681728792,0.3818015789657384,0.27298035789151315,0.07937973114999199,0.14417466118086003,False,2000,21,0
q-selector rolling 252 | hold | unconditional,index points per contract,fixed 15:00,unseen,413,0.0,0.0,0.0,0.0,0.0,0.0,False,2000,21,0
q-selector rolling 252 | hold | unconditional,index points per contract,fixed 15:00,all,1279,0.054152815936548984,-0.10390535890304307,0.269302841387574,0.18660410014530854,0.0539139583523561,0.09694589505647504,False,2000,21,0
q-selector rolling 252 | hold | thresholded,premium,fixed 11:00,deck in-sample,866,-0.018639357350007043,-0.0652965442401555,0.029233062834632954,0.04726480353739423,-0.018162277608408654,0.02448405600087178,False,2000,21,0
q-selector rolling 252 | hold | thresholded,premium,fixed 11:00,unseen,413,0.005556360065088347,-0.07092116560619556,0.08199349387001198,0.07645732973810376,0.006220585025334727,0.03945836440648827,False,2000,21,0
q-selector rolling 252 | hold | thresholded,premium,fixed 11:00,all,1279,-0.01082635399392072,-0.05236872652357252,0.028547674329061745,0.040458200426317134,-0.01128447383497436,0.020487458146499715,False,2000,21,0
q-selector rolling 252 | hold | thresholded,premium,fixed 13:30,deck in-sample,866,-0.0002629560671658192,-0.03764717725118814,0.03512306473824594,0.03638512099471704,-0.00019837714049944881,0.0190782047121933,False,2000,21,0
q-selector rolling 252 | hold | thresholded,premium,fixed 13:30,unseen,413,-0.03280993408521144,-0.09979647622415197,0.03746570010929325,0.06863108816672261,-0.031812436794815775,0.035672066800590554,False,2000,21,0
q-selector rolling 252 | hold | thresholded,premium,fixed 13:30,all,1279,-0.010772652643751308,-0.04549680596457125,0.023863773132228414,0.03468028954839983,-0.01070370282115498,0.018180333160639512,False,2000,21,0
q-selector rolling 252 | hold | thresholded,premium,fixed 15:00,deck in-sample,866,0.0003787525653231199,-0.01584020853295736,0.017681311510711353,0.016760760021834357,0.0003433960560862134,0.008416902262060554,False,2000,21,0
q-selector rolling 252 | hold | thresholded,premium,fixed 15:00,unseen,413,0.0,0.0,0.0,0.0,0.0,0.0,False,2000,21,0
q-selector rolling 252 | hold | thresholded,premium,fixed 15:00,all,1279,0.00025645013414372307,-0.010566946848904956,0.01193142133212649,0.011249184090515722,0.00034889811035053784,0.005677949452014748,False,2000,21,0
q-selector rolling 252 | hold | thresholded,index points per contract,fixed 11:00,deck in-sample,866,-0.8727347094408104,-1.3984682421676766,-0.32844389555558867,0.535012173306044,-0.8715645608197976,0.2780308672197597,False,2000,21,0
q-selector rolling 252 | hold | thresholded,index points per contract,fixed 11:00,unseen,413,-0.280290232337575,-1.1236664794611309,0.5761908058585076,0.8499286426598192,-0.2685177291871379,0.44416344864687246,False,2000,21,0
q-selector rolling 252 | hold | thresholded,index points per contract,fixed 11:00,all,1279,-0.6814293388046602,-1.1370330140498133,-0.22484923446350152,0.45609188979315585,-0.6874168811551381,0.23090885796870178,False,2000,21,0
q-selector rolling 252 | hold | thresholded,index points per contract,fixed 13:30,deck in-sample,866,-0.14563069163506903,-0.5807640698381465,0.3383218927975594,0.459542981317853,-0.14786765432701282,0.23640274241476023,False,2000,21,0
q-selector rolling 252 | hold | thresholded,index points per contract,fixed 13:30,unseen,413,-0.9250973606019238,-1.580976970567335,-0.27127169811738827,0.6548526362249734,-0.9146378144174709,0.33811916021294275,False,2000,21,0
q-selector rolling 252 | hold | thresholded,index points per contract,fixed 13:30,all,1279,-0.39732712188003466,-0.7724885900098994,-0.0007922409130374495,0.385848174548431,-0.3968973803812009,0.20144101898106173,False,2000,21,0
q-selector rolling 252 | hold | thresholded,index points per contract,fixed 15:00,deck in-sample,866,0.07997858150444129,-0.16415913681728792,0.3818015789657384,0.27298035789151315,0.07937973114999199,0.14417466118086003,False,2000,21,0
q-selector rolling 252 | hold | thresholded,index points per contract,fixed 15:00,unseen,413,0.0,0.0,0.0,0.0,0.0,0.0,False,2000,21,0
q-selector rolling 252 | hold | thresholded,index points per contract,fixed 15:00,all,1279,0.054152815936548984,-0.10390535890304307,0.269302841387574,0.18660410014530854,0.0539139583523561,0.09694589505647504,False,2000,21,0
q-selector rolling 252 | flatten | unconditional,premium,fixed 11:00,deck in-sample,866,-0.0358206022277149,-0.06197127783916411,-0.008633259753284044,0.026669009042940034,-0.03574382235056392,0.01343836605062033,False,2000,21,0
q-selector rolling 252 | flatten | unconditional,premium,fixed 11:00,unseen,413,-0.0017982838580875187,-0.04066077194567509,0.03578535301934936,0.03822306248251223,-0.001163397188036973,0.019874437862505357,False,2000,21,0
q-selector rolling 252 | flatten | unconditional,premium,fixed 11:00,all,1279,-0.024834505678335613,-0.04733595224681867,-0.002836299411671635,0.022249826417573518,-0.02517499160792487,0.01114938738512845,False,2000,21,0
q-selector rolling 252 | flatten | unconditional,premium,fixed 13:30,deck in-sample,866,-0.01905656944500265,-0.042123501294798756,0.004103573424779314,0.023113537359789035,-0.01933714941231807,0.012112943610068776,False,2000,21,0
q-selector rolling 252 | flatten | unconditional,premium,fixed 13:30,unseen,413,-0.034628054208464196,-0.07149085682715871,0.007842964335440806,0.03966691058129976,-0.03381413683922267,0.020390158876513152,False,2000,21,0
q-selector rolling 252 | flatten | unconditional,premium,fixed 13:30,all,1279,-0.024084734579724796,-0.045749570250158286,-0.003024256360756386,0.02136265694470095,-0.023834926714692416,0.010956879903133475,False,2000,21,0
q-selector rolling 252 | flatten | unconditional,premium,fixed 15:00,deck in-sample,866,0.0028926300471095877,-0.0022190296386066805,0.01029712851474045,0.006258079076673566,0.0028990048424329526,0.003245026890974312,False,2000,21,0
q-selector rolling 252 | flatten | unconditional,premium,fixed 15:00,unseen,413,0.0,0.0,0.0,0.0,0.0,0.0,False,2000,21,0
q-selector rolling 252 | flatten | unconditional,premium,fixed 15:00,all,1279,0.0019585751530859286,-0.0014779900566186522,0.00713237047658417,0.0043051802666014116,0.0020414251021764205,0.002237852330501876,False,2000,21,0
q-selector rolling 252 | flatten | unconditional,index points per contract,fixed 11:00,deck in-sample,866,-0.6413481712692582,-1.038057828576836,-0.23022365391272218,0.40391708733205695,-0.6422202820602233,0.20234302142038135,False,2000,21,0
q-selector rolling 252 | flatten | unconditional,index points per contract,fixed 11:00,unseen,413,0.012310105368400395,-0.755703306390261,0.7922815640020494,0.7739924351961551,0.026077518534812782,0.40237778324244106,False,2000,21,0
q-selector rolling 252 | flatten | unconditional,index points per contract,fixed 11:00,all,1279,-0.43027634308211754,-0.7847358080501542,-0.06883124775461293,0.35795228014777064,-0.43487762662911017,0.18801214665296143,False,2000,21,0
q-selector rolling 252 | flatten | unconditional,index points per contract,fixed 13:30,deck in-sample,866,-0.2719706535044624,-0.5690965075332916,0.026106210178478334,0.29760135885588496,-0.27654082866240914,0.15242714170089963,False,2000,21,0
q-selector rolling 252 | flatten | unconditional,index points per contract,fixed 13:30,unseen,413,-0.6494887267479803,-1.1767091197519088,-0.11606844270220976,0.5303203385248495,-0.6403024772254725,0.2718389093955099,False,2000,21,0
q-selector rolling 252 | flatten | unconditional,index points per contract,fixed 13:30,all,1279,-0.3938744566706649,-0.6716731540545513,-0.1256569550846044,0.27300809948497345,-0.3915767384039607,0.13958952886249976,False,2000,21,0
q-selector rolling 252 | flatten | unconditional,index points per contract,fixed 15:00,deck in-sample,866,0.03790188980727477,-0.016914628559159782,0.12015391864228504,0.06853427360072241,0.03758599612175567,0.037108655717800816,False,2000,21,0
q-selector rolling 252 | flatten | unconditional,index points per contract,fixed 15:00,unseen,413,0.0,0.0,0.0,0.0,0.0,0.0,False,2000,21,0
q-selector rolling 252 | flatten | unconditional,index points per contract,fixed 15:00,all,1279,0.025663046577873296,-0.010426671314238863,0.08420848021532296,0.047317575764780906,0.025861810309216395,0.0250537158521562,False,2000,21,0
q-selector rolling 252 | flatten | thresholded,premium,fixed 11:00,deck in-sample,866,-0.0358206022277149,-0.06197127783916411,-0.008633259753284044,0.026669009042940034,-0.03574382235056392,0.01343836605062033,False,2000,21,0
q-selector rolling 252 | flatten | thresholded,premium,fixed 11:00,unseen,413,-0.0017982838580875187,-0.04066077194567509,0.03578535301934936,0.03822306248251223,-0.001163397188036973,0.019874437862505357,False,2000,21,0
q-selector rolling 252 | flatten | thresholded,premium,fixed 11:00,all,1279,-0.024834505678335613,-0.04733595224681867,-0.002836299411671635,0.022249826417573518,-0.02517499160792487,0.01114938738512845,False,2000,21,0
q-selector rolling 252 | flatten | thresholded,premium,fixed 13:30,deck in-sample,866,-0.01905656944500265,-0.042123501294798756,0.004103573424779314,0.023113537359789035,-0.01933714941231807,0.012112943610068776,False,2000,21,0
q-selector rolling 252 | flatten | thresholded,premium,fixed 13:30,unseen,413,-0.034628054208464196,-0.07149085682715871,0.007842964335440806,0.03966691058129976,-0.03381413683922267,0.020390158876513152,False,2000,21,0
q-selector rolling 252 | flatten | thresholded,premium,fixed 13:30,all,1279,-0.024084734579724796,-0.045749570250158286,-0.003024256360756386,0.02136265694470095,-0.023834926714692416,0.010956879903133475,False,2000,21,0
q-selector rolling 252 | flatten | thresholded,premium,fixed 15:00,deck in-sample,866,0.0028926300471095877,-0.0022190296386066805,0.01029712851474045,0.006258079076673566,0.0028990048424329526,0.003245026890974312,False,2000,21,0
q-selector rolling 252 | flatten | thresholded,premium,fixed 15:00,unseen,413,0.0,0.0,0.0,0.0,0.0,0.0,False,2000,21,0
q-selector rolling 252 | flatten | thresholded,premium,fixed 15:00,all,1279,0.0019585751530859286,-0.0014779900566186522,0.00713237047658417,0.0043051802666014116,0.0020414251021764205,0.002237852330501876,False,2000,21,0
q-selector rolling 252 | flatten | thresholded,index points per contract,fixed 11:00,deck in-sample,866,-0.6413481712692582,-1.038057828576836,-0.23022365391272218,0.40391708733205695,-0.6422202820602233,0.20234302142038135,False,2000,21,0
q-selector rolling 252 | flatten | thresholded,index points per contract,fixed 11:00,unseen,413,0.012310105368400395,-0.755703306390261,0.7922815640020494,0.7739924351961551,0.026077518534812782,0.40237778324244106,False,2000,21,0
q-selector rolling 252 | flatten | thresholded,index points per contract,fixed 11:00,all,1279,-0.43027634308211754,-0.7847358080501542,-0.06883124775461293,0.35795228014777064,-0.43487762662911017,0.18801214665296143,False,2000,21,0
q-selector rolling 252 | flatten | thresholded,index points per contract,fixed 13:30,deck in-sample,866,-0.2719706535044624,-0.5690965075332916,0.026106210178478334,0.29760135885588496,-0.27654082866240914,0.15242714170089963,False,2000,21,0
q-selector rolling 252 | flatten | thresholded,index points per contract,fixed 13:30,unseen,413,-0.6494887267479803,-1.1767091197519088,-0.11606844270220976,0.5303203385248495,-0.6403024772254725,0.2718389093955099,False,2000,21,0
q-selector rolling 252 | flatten | thresholded,index points per contract,fixed 13:30,all,1279,-0.3938744566706649,-0.6716731540545513,-0.1256569550846044,0.27300809948497345,-0.3915767384039607,0.13958952886249976,False,2000,21,0
q-selector rolling 252 | flatten | thresholded,index points per contract,fixed 15:00,deck in-sample,866,0.03790188980727477,-0.016914628559159782,0.12015391864228504,0.06853427360072241,0.03758599612175567,0.037108655717800816,False,2000,21,0
q-selector rolling 252 | flatten | thresholded,index points per contract,fixed 15:00,unseen,413,0.0,0.0,0.0,0.0,0.0,0.0,False,2000,21,0
q-selector rolling 252 | flatten | thresholded,index points per contract,fixed 15:00,all,1279,0.025663046577873296,-0.010426671314238863,0.08420848021532296,0.047317575764780906,0.025861810309216395,0.0250537158521562,False,2000,21,0
q-selector ewma hl 63 | hold | unconditional,premium,fixed 11:00,deck in-sample,866,-0.018639357350007043,-0.0652965442401555,0.029233062834632954,0.04726480353739423,-0.018162277608408654,0.02448405600087178,False,2000,21,0
q-selector ewma hl 63 | hold | unconditional,premium,fixed 11:00,unseen,413,0.005556360065088347,-0.07092116560619556,0.08199349387001198,0.07645732973810376,0.006220585025334727,0.03945836440648827,False,2000,21,0
q-selector ewma hl 63 | hold | unconditional,premium,fixed 11:00,all,1279,-0.01082635399392072,-0.05236872652357252,0.028547674329061745,0.040458200426317134,-0.01128447383497436,0.020487458146499715,False,2000,21,0
q-selector ewma hl 63 | hold | unconditional,premium,fixed 13:30,deck in-sample,866,-0.0002629560671658192,-0.03764717725118814,0.03512306473824594,0.03638512099471704,-0.00019837714049944881,0.0190782047121933,False,2000,21,0
q-selector ewma hl 63 | hold | unconditional,premium,fixed 13:30,unseen,413,-0.03280993408521144,-0.09979647622415197,0.03746570010929325,0.06863108816672261,-0.031812436794815775,0.035672066800590554,False,2000,21,0
q-selector ewma hl 63 | hold | unconditional,premium,fixed 13:30,all,1279,-0.010772652643751308,-0.04549680596457125,0.023863773132228414,0.03468028954839983,-0.01070370282115498,0.018180333160639512,False,2000,21,0
q-selector ewma hl 63 | hold | unconditional,premium,fixed 15:00,deck in-sample,866,0.0003787525653231199,-0.01584020853295736,0.017681311510711353,0.016760760021834357,0.0003433960560862134,0.008416902262060554,False,2000,21,0
q-selector ewma hl 63 | hold | unconditional,premium,fixed 15:00,unseen,413,0.0,0.0,0.0,0.0,0.0,0.0,False,2000,21,0
q-selector ewma hl 63 | hold | unconditional,premium,fixed 15:00,all,1279,0.00025645013414372307,-0.010566946848904956,0.01193142133212649,0.011249184090515722,0.00034889811035053784,0.005677949452014748,False,2000,21,0
q-selector ewma hl 63 | hold | unconditional,index points per contract,fixed 11:00,deck in-sample,866,-0.8727347094408104,-1.3984682421676766,-0.32844389555558867,0.535012173306044,-0.8715645608197976,0.2780308672197597,False,2000,21,0
q-selector ewma hl 63 | hold | unconditional,index points per contract,fixed 11:00,unseen,413,-0.280290232337575,-1.1236664794611309,0.5761908058585076,0.8499286426598192,-0.2685177291871379,0.44416344864687246,False,2000,21,0
q-selector ewma hl 63 | hold | unconditional,index points per contract,fixed 11:00,all,1279,-0.6814293388046602,-1.1370330140498133,-0.22484923446350152,0.45609188979315585,-0.6874168811551381,0.23090885796870178,False,2000,21,0
q-selector ewma hl 63 | hold | unconditional,index points per contract,fixed 13:30,deck in-sample,866,-0.14563069163506903,-0.5807640698381465,0.3383218927975594,0.459542981317853,-0.14786765432701282,0.23640274241476023,False,2000,21,0
q-selector ewma hl 63 | hold | unconditional,index points per contract,fixed 13:30,unseen,413,-0.9250973606019238,-1.580976970567335,-0.27127169811738827,0.6548526362249734,-0.9146378144174709,0.33811916021294275,False,2000,21,0
q-selector ewma hl 63 | hold | unconditional,index points per contract,fixed 13:30,all,1279,-0.39732712188003466,-0.7724885900098994,-0.0007922409130374495,0.385848174548431,-0.3968973803812009,0.20144101898106173,False,2000,21,0
q-selector ewma hl 63 | hold | unconditional,index points per contract,fixed 15:00,deck in-sample,866,0.07997858150444129,-0.16415913681728792,0.3818015789657384,0.27298035789151315,0.07937973114999199,0.14417466118086003,False,2000,21,0
q-selector ewma hl 63 | hold | unconditional,index points per contract,fixed 15:00,unseen,413,0.0,0.0,0.0,0.0,0.0,0.0,False,2000,21,0
q-selector ewma hl 63 | hold | unconditional,index points per contract,fixed 15:00,all,1279,0.054152815936548984,-0.10390535890304307,0.269302841387574,0.18660410014530854,0.0539139583523561,0.09694589505647504,False,2000,21,0
q-selector ewma hl 63 | hold | thresholded,premium,fixed 11:00,deck in-sample,866,-0.018639357350007043,-0.0652965442401555,0.029233062834632954,0.04726480353739423,-0.018162277608408654,0.02448405600087178,False,2000,21,0
q-selector ewma hl 63 | hold | thresholded,premium,fixed 11:00,unseen,413,0.005556360065088347,-0.07092116560619556,0.08199349387001198,0.07645732973810376,0.006220585025334727,0.03945836440648827,False,2000,21,0
q-selector ewma hl 63 | hold | thresholded,premium,fixed 11:00,all,1279,-0.01082635399392072,-0.05236872652357252,0.028547674329061745,0.040458200426317134,-0.01128447383497436,0.020487458146499715,False,2000,21,0
q-selector ewma hl 63 | hold | thresholded,premium,fixed 13:30,deck in-sample,866,-0.0002629560671658192,-0.03764717725118814,0.03512306473824594,0.03638512099471704,-0.00019837714049944881,0.0190782047121933,False,2000,21,0
q-selector ewma hl 63 | hold | thresholded,premium,fixed 13:30,unseen,413,-0.03280993408521144,-0.09979647622415197,0.03746570010929325,0.06863108816672261,-0.031812436794815775,0.035672066800590554,False,2000,21,0
q-selector ewma hl 63 | hold | thresholded,premium,fixed 13:30,all,1279,-0.010772652643751308,-0.04549680596457125,0.023863773132228414,0.03468028954839983,-0.01070370282115498,0.018180333160639512,False,2000,21,0
q-selector ewma hl 63 | hold | thresholded,premium,fixed 15:00,deck in-sample,866,0.0003787525653231199,-0.01584020853295736,0.017681311510711353,0.016760760021834357,0.0003433960560862134,0.008416902262060554,False,2000,21,0
q-selector ewma hl 63 | hold | thresholded,premium,fixed 15:00,unseen,413,0.0,0.0,0.0,0.0,0.0,0.0,False,2000,21,0
q-selector ewma hl 63 | hold | thresholded,premium,fixed 15:00,all,1279,0.00025645013414372307,-0.010566946848904956,0.01193142133212649,0.011249184090515722,0.00034889811035053784,0.005677949452014748,False,2000,21,0
q-selector ewma hl 63 | hold | thresholded,index points per contract,fixed 11:00,deck in-sample,866,-0.8727347094408104,-1.3984682421676766,-0.32844389555558867,0.535012173306044,-0.8715645608197976,0.2780308672197597,False,2000,21,0
q-selector ewma hl 63 | hold | thresholded,index points per contract,fixed 11:00,unseen,413,-0.280290232337575,-1.1236664794611309,0.5761908058585076,0.8499286426598192,-0.2685177291871379,0.44416344864687246,False,2000,21,0
q-selector ewma hl 63 | hold | thresholded,index points per contract,fixed 11:00,all,1279,-0.6814293388046602,-1.1370330140498133,-0.22484923446350152,0.45609188979315585,-0.6874168811551381,0.23090885796870178,False,2000,21,0
q-selector ewma hl 63 | hold | thresholded,index points per contract,fixed 13:30,deck in-sample,866,-0.14563069163506903,-0.5807640698381465,0.3383218927975594,0.459542981317853,-0.14786765432701282,0.23640274241476023,False,2000,21,0
q-selector ewma hl 63 | hold | thresholded,index points per contract,fixed 13:30,unseen,413,-0.9250973606019238,-1.580976970567335,-0.27127169811738827,0.6548526362249734,-0.9146378144174709,0.33811916021294275,False,2000,21,0
q-selector ewma hl 63 | hold | thresholded,index points per contract,fixed 13:30,all,1279,-0.39732712188003466,-0.7724885900098994,-0.0007922409130374495,0.385848174548431,-0.3968973803812009,0.20144101898106173,False,2000,21,0
q-selector ewma hl 63 | hold | thresholded,index points per contract,fixed 15:00,deck in-sample,866,0.07997858150444129,-0.16415913681728792,0.3818015789657384,0.27298035789151315,0.07937973114999199,0.14417466118086003,False,2000,21,0
q-selector ewma hl 63 | hold | thresholded,index points per contract,fixed 15:00,unseen,413,0.0,0.0,0.0,0.0,0.0,0.0,False,2000,21,0
q-selector ewma hl 63 | hold | thresholded,index points per contract,fixed 15:00,all,1279,0.054152815936548984,-0.10390535890304307,0.269302841387574,0.18660410014530854,0.0539139583523561,0.09694589505647504,False,2000,21,0
q-selector ewma hl 63 | flatten | unconditional,premium,fixed 11:00,deck in-sample,866,-0.0358206022277149,-0.06197127783916411,-0.008633259753284044,0.026669009042940034,-0.03574382235056392,0.01343836605062033,False,2000,21,0
q-selector ewma hl 63 | flatten | unconditional,premium,fixed 11:00,unseen,413,-0.0017982838580875187,-0.04066077194567509,0.03578535301934936,0.03822306248251223,-0.001163397188036973,0.019874437862505357,False,2000,21,0
q-selector ewma hl 63 | flatten | unconditional,premium,fixed 11:00,all,1279,-0.024834505678335613,-0.04733595224681867,-0.002836299411671635,0.022249826417573518,-0.02517499160792487,0.01114938738512845,False,2000,21,0
q-selector ewma hl 63 | flatten | unconditional,premium,fixed 13:30,deck in-sample,866,-0.01905656944500265,-0.042123501294798756,0.004103573424779314,0.023113537359789035,-0.01933714941231807,0.012112943610068776,False,2000,21,0
q-selector ewma hl 63 | flatten | unconditional,premium,fixed 13:30,unseen,413,-0.034628054208464196,-0.07149085682715871,0.007842964335440806,0.03966691058129976,-0.03381413683922267,0.020390158876513152,False,2000,21,0
q-selector ewma hl 63 | flatten | unconditional,premium,fixed 13:30,all,1279,-0.024084734579724796,-0.045749570250158286,-0.003024256360756386,0.02136265694470095,-0.023834926714692416,0.010956879903133475,False,2000,21,0
q-selector ewma hl 63 | flatten | unconditional,premium,fixed 15:00,deck in-sample,866,0.0028926300471095877,-0.0022190296386066805,0.01029712851474045,0.006258079076673566,0.0028990048424329526,0.003245026890974312,False,2000,21,0
q-selector ewma hl 63 | flatten | unconditional,premium,fixed 15:00,unseen,413,0.0,0.0,0.0,0.0,0.0,0.0,False,2000,21,0
q-selector ewma hl 63 | flatten | unconditional,premium,fixed 15:00,all,1279,0.0019585751530859286,-0.0014779900566186522,0.00713237047658417,0.0043051802666014116,0.0020414251021764205,0.002237852330501876,False,2000,21,0
q-selector ewma hl 63 | flatten | unconditional,index points per contract,fixed 11:00,deck in-sample,866,-0.6413481712692582,-1.038057828576836,-0.23022365391272218,0.40391708733205695,-0.6422202820602233,0.20234302142038135,False,2000,21,0
q-selector ewma hl 63 | flatten | unconditional,index points per contract,fixed 11:00,unseen,413,0.012310105368400395,-0.755703306390261,0.7922815640020494,0.7739924351961551,0.026077518534812782,0.40237778324244106,False,2000,21,0
q-selector ewma hl 63 | flatten | unconditional,index points per contract,fixed 11:00,all,1279,-0.43027634308211754,-0.7847358080501542,-0.06883124775461293,0.35795228014777064,-0.43487762662911017,0.18801214665296143,False,2000,21,0
q-selector ewma hl 63 | flatten | unconditional,index points per contract,fixed 13:30,deck in-sample,866,-0.2719706535044624,-0.5690965075332916,0.026106210178478334,0.29760135885588496,-0.27654082866240914,0.15242714170089963,False,2000,21,0
q-selector ewma hl 63 | flatten | unconditional,index points per contract,fixed 13:30,unseen,413,-0.6494887267479803,-1.1767091197519088,-0.11606844270220976,0.5303203385248495,-0.6403024772254725,0.2718389093955099,False,2000,21,0
