segment,bar_end,estimator,train_win,sample,comparison,n,QLIKE_a,QLIKE_b,diff,pct,ci_lo,ci_hi,improves,worse,blown
bar1000,10:00,reclasso,500,common,coefficients,3056,0.11933946224093639,0.1183418694281563,0.0009975928127800766,0.8429753709321799,-0.004408550108734657,0.007260902092135074,False,False,False
bar1000,10:00,reclasso,500,common,package,3056,0.11933946224093639,0.11792507873263207,0.001414383508304321,1.1993916166985223,-0.003286341493765427,0.007373749670226265,False,False,False
bar1000,10:00,reclasso,500,common,calibration,3056,0.1183418694281563,0.11792507873263207,0.00041679069552424394,0.3534368600840376,-0.0011233649542316136,0.0018962307118628695,False,False,False
bar1000,10:00,reclasso,500,common,as scored,3056,0.11997542430709017,0.1164758593610608,0.0034995649460293717,3.004540996929803,-0.0024376154333233375,0.01157672567213347,False,False,False
bar1000,10:00,reclasso,500,deck period,coefficients,1116,0.12625520253403524,0.11810961171268515,0.008145590821350114,6.896636694704555,-0.003003624650915615,0.023482838641895425,False,False,False
bar1000,10:00,reclasso,500,deck period,package,1116,0.12625520253403524,0.11865810970019916,0.007597092833836078,6.402506202931131,-0.0023260021667965976,0.021630556727920854,False,False,False
bar1000,10:00,reclasso,500,deck period,calibration,1116,0.11810961171268515,0.11865810970019916,-0.0005484979875140395,-0.46225073777078624,-0.004199469446037453,0.002550764057841586,False,False,False
bar1000,10:00,reclasso,500,deck period,as scored,1116,0.12854336479503814,0.11605538641914445,0.012487978375893688,10.760360859764175,-0.0007554060290958013,0.032698850974431065,False,False,False
bar1000,10:00,reclasso,2000,common,coefficients,1556,0.12713563288859306,0.12349556973472622,0.003640063153866815,2.947525293163007,-0.003567689431648824,0.010615128804717046,False,False,False
bar1000,10:00,reclasso,2000,common,package,1556,0.12713563288859306,0.1260702973974559,0.0010653354911371287,0.8450329007938291,-0.004665827273276664,0.0071952642127094246,False,False,False
bar1000,10:00,reclasso,2000,common,calibration,1556,0.12349556973472622,0.1260702973974559,-0.0025747276627296847,-2.042295224078406,-0.005217299931145748,-0.00012748452429018662,True,False,False
bar1000,10:00,reclasso,2000,common,as scored,1556,0.1272279337714082,0.1238516473967918,0.0033762863746164278,2.7260730443088845,-0.0035581604623338686,0.011144610127394023,False,False,False
bar1000,10:00,reclasso,2000,deck period,coefficients,1116,0.12559284198851864,0.11731254821431189,0.00828029377420675,7.058318909823639,0.0010049931213909644,0.016981669497292226,False,True,False
bar1000,10:00,reclasso,2000,deck period,package,1116,0.12559284198851864,0.12107660742974481,0.004516234558773813,3.7300636800501503,-0.0014472090651876841,0.01198708870001905,False,False,False
bar1000,10:00,reclasso,2000,deck period,calibration,1116,0.11731254821431189,0.12107660742974481,-0.0037640592154329364,-3.1088244833892023,-0.007086684472133687,-0.0008927010214534611,True,False,False
