segment,estimator,train_win,back_transform,deck_days,pct_buy,Sharpe_mid,Sharpe_crossed,ridge_Sharpe_mid_same_days
bar1600,reclasso,500,clock,866,36.95150115473441,1.0256683767300305,0.5562551924175252,1.3383216004229939
bar1600,reclasso,500,raw,866,37.75981524249423,1.1277705481929723,0.6594298274892664,1.3383216004229939
bar1600,reclasso,2000,clock,866,38.22170900692841,1.392800819513153,0.9236241547901508,1.3383216004229939
bar1600,reclasso,2000,raw,866,38.68360277136259,1.4487930215545586,0.9811610904158289,1.3383216004229939
none,reclasso,500,clock,866,26.212471131639724,0.7849922114838346,0.3037076500618956,1.3383216004229939
none,reclasso,500,pooled,866,35.10392609699769,1.355052299674596,0.8829054219926965,1.3383216004229939
none,reclasso,500,raw,866,31.986143187066972,1.2392022655845005,0.7627157293251515,1.3383216004229939
none,reclasso,2000,clock,866,33.71824480369515,1.1096349567154336,0.6350159303080742,1.3383216004229939
none,reclasso,2000,pooled,866,42.032332563510394,0.9259469188262548,0.45589298905463227,1.3383216004229939
none,reclasso,2000,raw,866,38.33718244803695,1.211233247486729,0.7386302022904443,1.3383216004229939
rth,reclasso,500,clock,866,31.639722863741337,0.650686118946237,0.1733227972638914,1.3383216004229939
rth,reclasso,500,raw,866,31.986143187066972,1.0655116218558198,0.5886378346488929,1.3383216004229939
rth,reclasso,2000,clock,866,36.489607390300236,1.1336760121758456,0.6623516076195046,1.3383216004229939
rth,reclasso,2000,raw,866,38.22170900692841,1.3474692023801054,0.8780996330417963,1.3383216004229939
