arm,root,n_bars,n_chunks_present,incomplete,qlike,qlike_none,qlike_duan,dm_t_vs_a0,oos_r2_vs_a0,mz_alpha,mz_beta,sigma2_mean,masked_col_events,calib_a_mean,calib_b_mean,calib_fallback_windows,var_fallback_windows
a0_ols_har,unification,273554,100,False,0.233526511,0.2409855694,0.2316541182,0,0,3.134605447e-06,-1.664822194e-06,0.1406504832,0,-0.00986399,1.01915,0,0
a_bucket_market_ew,unification,8289,4,True,0.2083359644,0.2136820429,0.206296699,1.91291,0.008030003768,4.388082007e-08,0.9205462837,0.1145671236,0,,,3,3
a_bucket_market_vw,unification,8291,4,True,0.2140409243,0.2245083905,0.214108361,-0.367027,0.005856916739,1.320316503e-07,0.9023571531,0.1137420235,0,,,3,3
a_bucket_sentiment,unification,8289,4,True,0.1738664187,0.1793403193,0.1733774827,-0.639757,0.00218776433,3.006377722e-08,0.9467411827,0.09343527643,108,,,3,3
a_bucket_implied_vol,unification,19342,8,True,0.2322716331,0.2400719492,0.2263401214,1.86126,0.008029918268,4.311314389e-07,0.7468503137,0.1571340116,264,,,7,7
a_bucket_vol_demand,unification,8289,4,True,0.2323658466,0.2319119878,0.226581735,3.4369,-0.005403152333,-1.305591431e-07,0.9750341592,0.1656890025,216,,,3,3
a_bucket_all_features,unification,2764,2,True,0.1992397569,0.210446268,0.2002607588,-2.36342,0.01261130665,1.588582395e-07,0.8302605854,0.1051950523,240,,,1,1
be_tunedWide_moments,unification,273554,100,False,0.2342036279,2.46966856,0.2320768054,0.653137,0.005344382196,3.134509608e-06,-1.08688112e-06,0.1403218196,0,-0.0401189,1.05515,0,0
be_tunedWide_liquidity,unification,273554,100,False,0.2368771461,0.2456457349,0.2345161175,3.25518,-0.0064116695,3.134555693e-06,-1.372316592e-06,0.1420091557,0,-0.0409994,1.05437,0,0
be_tunedWide_market_ew,unification,273554,100,False,0.2357813485,0.2422050895,0.234258559,3.60372,-0.006143002111,3.134514904e-06,-1.154705623e-06,0.141665979,0,-0.0562338,1.07057,0,0
