segment,bar_end,estimator,train_win,sample,comparison,n,QLIKE_a,QLIKE_b,diff,pct,ci_lo,ci_hi,improves,worse,blown
bar1000,10:00,reclasso,500,common,coefficients,3056,0.11106569347595081,0.11925524812029285,-0.008189554644342035,-6.867248840974465,-0.01304914374911436,-0.003532879757744018,True,False,False
bar1000,10:00,reclasso,500,common,package,3056,0.11106569347595081,0.11886494075242668,-0.007799247276475858,-6.561436220895633,-0.01215594321719695,-0.0035224863813450216,True,False,False
bar1000,10:00,reclasso,500,common,calibration,3056,0.11925524812029285,0.11886494075242668,0.0003903073678661751,0.3283620598264647,-0.0013192484964419722,0.0019506857691236393,False,False,False
bar1000,10:00,reclasso,500,common,as scored,3056,0.10963484260642024,0.1175021982483248,-0.00786735564190454,-6.6954965602243135,-0.012203132279440304,-0.0037832968465662496,True,False,False
bar1000,10:00,reclasso,500,deck period,coefficients,1116,0.10955783870303314,0.11769227935845823,-0.008134440655425072,-6.911617907109954,-0.014780380639281608,-0.001158237078209346,True,False,False
bar1000,10:00,reclasso,500,deck period,package,1116,0.10955783870303314,0.1191208760012796,-0.00956303729824648,-8.028011226297355,-0.01687926254126437,-0.0028319045957630887,True,False,False
bar1000,10:00,reclasso,500,deck period,calibration,1116,0.11769227935845823,0.1191208760012796,-0.0014285966428214084,-1.1992831909715491,-0.005685142053628387,0.0019140294343909616,False,False,False
bar1000,10:00,reclasso,500,deck period,as scored,1116,0.10803869868301698,0.11628439421591975,-0.008245695532902763,-7.090973460799865,-0.014510535127812073,-0.0018781897228691909,True,False,False
bar1000,10:00,reclasso,2000,common,coefficients,1556,0.11359024830111966,0.12259786819916398,-0.009007619898044298,-7.347289174238449,-0.015585114482023411,-0.0027920319291894332,True,False,False
bar1000,10:00,reclasso,2000,common,package,1556,0.11359024830111966,0.12484254388326475,-0.011252295582145085,-9.013189920790667,-0.018353565945854754,-0.005148899080233682,True,False,False
bar1000,10:00,reclasso,2000,common,calibration,1556,0.12259786819916398,0.12484254388326475,-0.002244675684100787,-1.798005402869468,-0.005097792261039917,0.00030236034604858323,False,False,False
bar1000,10:00,reclasso,2000,common,as scored,1556,0.11278424016850973,0.1223672286691204,-0.009582988500610684,-7.831335730028647,-0.015774830276233026,-0.0038567048582044787,True,False,False
bar1000,10:00,reclasso,2000,deck period,coefficients,1116,0.11213284884321961,0.11545001089643561,-0.0033171620532160104,-2.8732453357597945,-0.010425318620603027,0.0033003118712207954,False,False,False
bar1000,10:00,reclasso,2000,deck period,package,1116,0.11213284884321961,0.11864730341786757,-0.0065144545746479545,-5.4906048321254275,-0.015298933736348894,0.00035869266007173536,False,False,False
bar1000,10:00,reclasso,2000,deck period,calibration,1116,0.11545001089643561,0.11864730341786757,-0.003197292521431944,-2.6947873481551468,-0.007081947987228681,-9.955166349967867e-05,True,False,False
