segment,bar_end,estimator,train_win,sample,comparison,n,QLIKE_a,QLIKE_b,diff,pct,ci_lo,ci_hi,improves,worse,blown
bar1000,10:00,reclasso,500,common,coefficients,3056,0.11249884238999706,0.12111610438608278,-0.008617261996085725,-7.114877117097831,-0.013614059309142728,-0.003749900905742604,True,False,False
bar1000,10:00,reclasso,500,common,package,3056,0.11249884238999706,0.1213761288265953,-0.008877286436598237,-7.313865191137231,-0.01348811514864013,-0.004497215813886775,True,False,False
bar1000,10:00,reclasso,500,common,calibration,3056,0.12111610438608278,0.1213761288265953,-0.00026002444051251,-0.21423029637400565,-0.0020529256265521354,0.0014051609451846282,False,False,False
bar1000,10:00,reclasso,500,common,as scored,3056,0.11181021171021105,0.1196164637650845,-0.007806252054873473,-6.526068242749776,-0.012653382010750152,-0.0032815879951730094,True,False,False
bar1000,10:00,reclasso,500,deck period,coefficients,1116,0.11759514321354674,0.11880514779456396,-0.0012100045810171716,-1.018478242297626,-0.008698025152543275,0.0071423545558141534,False,False,False
bar1000,10:00,reclasso,500,deck period,package,1116,0.11759514321354674,0.12117175272300344,-0.0035766095094566562,-2.951685874869471,-0.010298290906037483,0.004013015049175613,False,False,False
bar1000,10:00,reclasso,500,deck period,calibration,1116,0.11880514779456396,0.12117175272300344,-0.002366604928439485,-1.9530995262976045,-0.006548385677839451,0.0009068882013676939,False,False,False
bar1000,10:00,reclasso,500,deck period,as scored,1116,0.11676140976860618,0.11761005925243391,-0.0008486494838277417,-0.7215789952169241,-0.008306730853896169,0.008137923632978643,False,False,False
bar1000,10:00,reclasso,2000,common,coefficients,1556,0.11297491376110295,0.12400838784368906,-0.011033474082586113,-8.897361117615416,-0.017790222662171857,-0.004359576173415364,True,False,False
bar1000,10:00,reclasso,2000,common,package,1556,0.11297491376110295,0.12758199711482043,-0.0146070833537175,-11.449172833194883,-0.02019169714013745,-0.009067247209626084,True,False,False
bar1000,10:00,reclasso,2000,common,calibration,1556,0.12400838784368906,0.12758199711482043,-0.0035736092711313875,-2.801029417900735,-0.00641880151537748,-0.0009525268534078314,True,False,False
bar1000,10:00,reclasso,2000,common,as scored,1556,0.11237292218403014,0.12464323705503841,-0.012270314871008294,-9.844348687438309,-0.018403872063458133,-0.006318077255444034,True,False,False
bar1000,10:00,reclasso,2000,deck period,coefficients,1116,0.1087277383242745,0.1175769944309991,-0.008849256106724601,-7.52634998840513,-0.016805974324147408,-0.0010012638376244959,True,False,False
bar1000,10:00,reclasso,2000,deck period,package,1116,0.1087277383242745,0.12235990164320808,-0.013632163318933563,-11.141038147189663,-0.020724763586872034,-0.007020470893266756,True,False,False
bar1000,10:00,reclasso,2000,deck period,calibration,1116,0.1175769944309991,0.12235990164320808,-0.004782907212208961,-3.9088844858306153,-0.008620292577475559,-0.0016962250102549481,True,False,False
bar1000,10:00,reclasso,2000,deck period,as scored,1116,0.10804421692074273,0.11867094286367716,-0.01062672594293442,-8.954783442769,-0.0181126058435888,-0.0036901184046785034,True,False,False
bar1000,10:00,reclasticnet,500,common,coefficients,3056,0.11276027439745295,0.12102587197313651,-0.008265597575683558,-6.829612082876156,-0.01279934236012032,-0.0037457277755628122,True,False,False
bar1000,10:00,reclasticnet,500,common,package,3056,0.11276027439745295,0.12115371713504296,-0.008393442737589992,-6.927928367426245,-0.012168198963448963,-0.004562245209899765,True,False,False
bar1000,10:00,reclasticnet,500,common,calibration,3056,0.12102587197313651,0.12115371713504296,-0.00012784516190643492,-0.10552310315327214,-0.0019524269503516014,0.0015134761823878118,False,False,False
bar1000,10:00,reclasticnet,500,common,as scored,3056,0.11169011692735538,0.11944713903234869,-0.007757022104993313,-6.494104561928901,-0.011631420246135397,-0.0038381127012517054,True,False,False
bar1000,10:00,reclasticnet,500,deck period,coefficients,1116,0.11335933190893127,0.11888750270179138,-0.005528170792860117,-4.649917499509239,-0.013039250586801119,0.0023749043491293827,False,False,False
bar1000,10:00,reclasticnet,500,deck period,package,1116,0.11335933190893127,0.12111121513357982,-0.007751883224648546,-6.400632027429164,-0.014347739117951884,-0.0011913483178194577,True,False,False
bar1000,10:00,reclasticnet,500,deck period,calibration,1116,0.11888750270179138,0.12111121513357982,-0.0022237124317884293,-1.836091256565944,-0.006352697496169835,0.0011517146727978112,False,False,False
bar1000,10:00,reclasticnet,500,deck period,as scored,1116,0.11135710255655658,0.11765909934741627,-0.006301996790859665,-5.3561491000806765,-0.01272541585958049,0.000538677184568572,False,False,False
bar1000,10:00,reclasticnet,2000,common,coefficients,1556,0.11589796290767077,0.12385777192166195,-0.007959809013991164,-6.426572099993543,-0.01474558414808891,-0.0015581952937691827,True,False,False
bar1000,10:00,reclasticnet,2000,common,package,1556,0.11589796290767077,0.12738470962341858,-0.011486746715747783,-9.017366958487806,-0.016950557417523205,-0.006190052580355574,True,False,False
bar1000,10:00,reclasticnet,2000,common,calibration,1556,0.12385777192166195,0.12738470962341858,-0.0035269377017566206,-2.7687292393122696,-0.006375250109318428,-0.0008987618796601062,True,False,False
bar1000,10:00,reclasticnet,2000,common,as scored,1556,0.11550143254624669,0.12446405378236758,-0.0089626212361209,-7.200971657079841,-0.014946545463680702,-0.003372485454810933,True,False,False
bar1000,10:00,reclasticnet,2000,deck period,coefficients,1116,0.11280211562166863,0.11722956729284333,-0.004427451671174695,-3.776736341707015,-0.012212002861513227,0.0029804098100294557,False,False,False
